	Analysis_Type	Date	ID	Rep	Sample_Type	Sensor	Site	Temp
53	c	071918	AC9_071918_y20_fil_c_1_T17_7	1	fil	AC9	y20	17.7
54	c	071918	AC9_071918_y20_fil_c_2_T17_8	2	fil	AC9	y20	17.8
55	c	071918	AC9_071918_y20_fil_c_3_T17_6	3	fil	AC9	y20	17.6
56	c	071918	AC9_071918_y20_fil_c_4_T17_5	4	fil	AC9	y20	17.5
57	a	071718	AC9_071718_sco_fil_a_2_T17_7	2	fil	AC9	sco	17.7
58	a	071718	AC9_071718_sco_fil_a_3_T17_7	3	fil	AC9	sco	17.7
59	c	071718	AC9_071718_sco_fil_c_2_T17_7	2	fil	AC9	sco	17.7
60	c	071718	AC9_071718_sco_fil_c_3_T17_7	3	fil	AC9	sco	17.7
61	a	071718	AC9_071718_sco_raw_a_1_T18_3	1	raw	AC9	sco	18.3
62	a	071718	AC9_071718_sco_raw_a_2_T18_3	2	raw	AC9	sco	18.3
63	a	071718	AC9_071718_sco_raw_a_3_T18_3	3	raw	AC9	sco	18.3
64	c	071718	AC9_071718_sco_raw_c_1_T18_3	1	raw	AC9	sco	18.3
65	c	071718	AC9_071718_sco_raw_c_2_T18_3	2	raw	AC9	sco	18.3
66	c	071718	AC9_071718_sco_raw_c_3_T18_3	3	raw	AC9	sco	18.3
67	a	071718	AC9_071718_9mi_cal_a_1_T19_0	1	cal	AC9	9mi	19.0
68	c	071718	AC9_071718_9mi_cal_c_1_T19_0	1	cal	AC9	9mi	19.0
69	a	071718	AC9_071718_9mi_fil_a_1_T15_4	1	fil	AC9	9mi	15.4
70	a	071718	AC9_071718_9mi_fil_a_2_T15_4	2	fil	AC9	9mi	15.4
71	a	071718	AC9_071718_9mi_fil_a_3_T15_1	3	fil	AC9	9mi	15.1
72	c	071718	AC9_071718_9mi_fil_c_1_T15_4	1	fil	AC9	9mi	15.4
73	c	071718	AC9_071718_9mi_fil_c_2_T15_4	2	fil	AC9	9mi	15.4
74	c	071718	AC9_071718_9mi_fil_c_3_T15_1	3	fil	AC9	9mi	15.1
75	a	071718	AC9_071718_9mi_raw_a_1_T17_4	1	raw	AC9	9mi	17.4
76	a	071718	AC9_071718_9mi_raw_a_2_T17_4	2	raw	AC9	9mi	17.4
77	a	071718	AC9_071718_9mi_raw_a_3_T17_4	3	raw	AC9	9mi	17.4
78	c	071718	AC9_071718_9mi_raw_c_1_T17_4	1	raw	AC9	9mi	17.4
79	c	071718	AC9_071718_9mi_raw_c_2_T17_4	2	raw	AC9	9mi	17.4
80	c	071718	AC9_071718_9mi_raw_c_3_T17_4	3	raw	AC9	9mi	17.4
81	a	071718	AC9_071718_y17_fil_a_1_T17_4	1	fil	AC9	y17	17.4
82	a	071718	AC9_071718_y17_fil_a_2_T17_4	2	fil	AC9	y17	17.4
83	c	071718	AC9_071718_y17_fil_c_1_T17_4	1	fil	AC9	y17	17.4
84	c	071718	AC9_071718_y17_fil_c_2_T17_4	2	fil	AC9	y17	17.4
85	a	071718	AC9_071718_y17_raw_a_2_T17_1	2	raw	AC9	y17	17.1
86	a	071718	AC9_071718_y17_raw_a_3_T17_1	3	raw	AC9	y17	17.1
87	a	071718	AC9_071718_y17_raw_a_4_T17_1	4	raw	AC9	y17	17.1
88	c	071718	AC9_071718_y17_raw_c_2_T17_1	2	raw	AC9	y17	17.1
89	c	071718	AC9_071718_y17_raw_c_3_T17_1	3	raw	AC9	y17	17.1
90	c	071718	AC9_071718_y17_raw_c_4_T17_1	4	raw	AC9	y17	17.1
91	a	071918	AC9_071918_y17_fil_a_1_T18_3	1	fil	AC9	y17	18.3
92	a	071918	AC9_071918_y17_fil_a_2_T18_0	2	fil	AC9	y17	18.0
93	a	071918	AC9_071918_y17_fil_a_3_T17_9	3	fil	AC9	y17	17.9
94	c	071918	AC9_071918_y17_fil_c_1_T18_3	1	fil	AC9	y17	18.3
95	c	071918	AC9_071918_y17_fil_c_2_T18_0	2	fil	AC9	y17	18.0
