mean	std
63.0106807288	21.8514081482
50.2897636169	26.7840154233
38.8529124805	28.7579385793
35.5476256853	27.2653815097
33.3438497211	27.5624811603
31.4937773936	27.8238526977
27.455942795	27.5760244616
25.1950451453	26.1633108658
25.4164813753	28.0511847497
