	wl	c_mean	c_std	c_median	c_var	c_IQR
0	412.0	9.85739536896	1.69006438409	9.34698	2.85631762237	1.35625
1	440.0	6.54679198473	1.60538983158	6.0285	2.57727651133	1.30648
2	488.0	3.86900737913	1.55468220479	3.42572	2.41703675789	1.2474
3	510.0	3.26625974555	1.6247327956	2.80489	2.6397566571	1.17214
4	532.0	2.92638012723	1.56318549033	2.44952	2.44354887718	1.19251
5	555.0	2.56856910941	1.48535155069	2.09523	2.20626922914	1.22681
6	650.0	1.87259541985	1.251916348	1.44794	1.56729454239	1.21024
7	676.0	1.84574470738	1.29198416705	1.41246	1.66922308791	1.11577
8	715.0	1.79888748092	1.38560254523	1.40137	1.91989441334	1.16071
