wl	c_mean	c_std	c_median	c_var	c_IQR
412.0	-0.010641798501248955	0.003994479535896732	-0.01078	1.5955866762697774e-05	0.0051199999999999996
440.0	0.09365193172356379	0.0038326438349179327	0.09354	1.468915876533444e-05	0.005209999999999992
488.0	0.21445367194005027	0.0035899982250163177	0.21429	1.2888087255620312e-05	0.004720000000000002
510.0	0.20697203164029976	0.0034869340691116284	0.2071	1.2158709202331377e-05	0.004870000000000013
532.0	0.27282213988343057	0.0035128185502645865	0.27291	1.2339894167082992e-05	0.00497000000000003
555.0	0.23121231473771833	0.003739312544330971	0.2312	1.398245830419096e-05	0.005280000000000035
650.0	0.24449901748542877	0.003609298874739247	0.24459	1.3027038367193995e-05	0.005110000000000003
676.0	0.24796569525395434	0.003827535547893162	0.2482	1.4650028370385805e-05	0.005599999999999994
715.0	0.23726480432972524	0.0036699597385413596	0.23759	1.3468604482514566e-05	0.005529999999999979
