wl	c_mean	c_std	c_median	c_var	c_IQR
412.0	9.952150856643346	1.198024445197095	9.637155	1.435262571289807	1.3835075000000003
440.0	6.647879230769222	1.2465240478075943	6.309995	1.5538222017626298	1.4277175
488.0	4.015438706293705	1.2260915657736862	3.6984399999999997	1.5033005276613693	1.3881975
510.0	3.4017345629370603	1.1772939716618651	3.109535	1.3860210957113686	1.2889650000000001
532.0	3.07263576923077	1.2675635189244618	2.720955	1.6067172745081644	1.3739700000000004
555.0	2.6860259965034943	1.1828124358401735	2.3910799999999997	1.3990452583781645	1.2507525000000004
650.0	2.032478164335663	1.1105665034117165	1.745015	1.2333579585001262	1.2391774999999996
676.0	2.0088545979020993	1.107882215746055	1.73946	1.2274030039663886	1.2354724999999998
715.0	1.9412031643356638	1.1214945797926668	1.653575	1.2577500925043301	1.3105924999999998
