wl	c_mean	c_std	c_median	c_var	c_IQR
412.0	-0.028222551020408184	0.009553380739601413	-0.029554999999999998	9.126708355578724e-05	0.008397499999999999
440.0	0.08266604956268214	0.009470468551779293	0.08176	8.968977459024058e-05	0.009027499999999994
488.0	0.20439358600583107	0.008917764930483752	0.203395	7.952653135536589e-05	0.00840249999999998
510.0	0.19493813411078714	0.008691114685101057	0.193965	7.553547446957924e-05	0.009212500000000012
532.0	0.263576865889213	0.008577862711838887	0.262425	7.357972870315597e-05	0.009452500000000086
555.0	0.22272669096209902	0.008535935629061426	0.2217	7.286219706348029e-05	0.009510000000000018
650.0	0.23307005830903804	0.00798109949779323	0.23243999999999998	6.369794919367536e-05	0.009272499999999989
676.0	0.24059841107871696	0.007378817064222692	0.239805	5.4446941267263975e-05	0.008272500000000016
715.0	0.24183950437317778	0.00786282706086252	0.24122500000000002	6.182404938903192e-05	0.008967499999999962
