wl	a_mean	a_std	a_median	a_var	a_IQR
412.0	4.402733159268929	0.006870403494800951	4.402909999999999	4.720244418137312e-05	0.009384999999999977
440.0	2.6123514882506527	0.004059725202734819	2.6124400000000003	1.6481368721720267e-05	0.005664999999999587
488.0	1.2175400522193212	0.0031738098725685553	1.21769	1.007306910721363e-05	0.004170000000000007
510.0	0.9093302610966063	0.002505865670556826	0.90923	6.279362758875211e-06	0.003234999999999988
532.0	0.7037931070496083	0.0024987987703680935	0.70392	6.243995294793097e-06	0.003410000000000135
555.0	0.5279426631853782	0.0026511109414649693	0.52773	7.028389223955276e-06	0.003390000000000004
650.0	0.18012783289817227	0.0019011180929698966	0.18016	3.614250003417496e-06	0.0025000000000000022
676.0	0.15542663185378594	0.0019365957306054938	0.15548	3.7504030237994265e-06	0.0028749999999999887
715.0	0.10040950391644911	0.001759047967866957	0.1006	3.0942497532568715e-06	0.0024400000000000116
