	wl	corrected
0	412.0	-1.13029674167
1	440.0	-1.14281510425
2	488.0	-1.27743974426
3	510.0	-1.33649384616
4	532.0	-1.38058824123
5	555.0	-1.40773419585
6	650.0	-1.42958367318
7	676.0	-1.40273467167
8	715.0	-1.47319260307
