	wl	corrected
0	412.0	-13.1494767026
1	440.0	-15.3424246275
2	488.0	-17.3574237664
3	510.0	-17.7783508361
4	532.0	-17.6417912787
5	555.0	-18.2302883523
6	650.0	-18.4602067173
7	676.0	-18.3369335747
8	715.0	-19.639567401
