	wl	corrected
0	412.0	0.52160239296
1	440.0	-0.92581045884
2	488.0	-1.9293225764
3	510.0	-2.06778331347
4	532.0	-2.1783168574
5	555.0	-2.16790019968
6	650.0	-2.10636964461
7	676.0	-2.07076665242
8	715.0	-1.96522899024
