	wl	a_mean	a_std	a_median	a_IQR
0	412.0	6.06615835294	0.0277107394591	6.062335	0.03239
1	440.0	3.93970809804	0.0252052383092	3.937345	0.0276675
2	488.0	2.17718905882	0.0251807463147	2.17294	0.026525
3	510.0	1.74761413725	0.0219127665138	1.74478	0.0239725
4	532.0	1.42236794118	0.0219805573999	1.419395	0.02383
5	555.0	1.17864482353	0.0217436799179	1.174685	0.0223075
6	650.0	0.734977176471	0.0196851555639	0.73119	0.0211475
7	676.0	0.756247078431	0.0209000781504	0.75194	0.0195175
8	715.0	0.551572745098	0.0168725702439	0.548985	0.016985
