wl,mean,Temp,ID,Site,Sample_Type,Analysis_Type,Date,Rep
650.0,-0.06681632785251616,25.0,AC9_070319_sea_cal_c_2_T25_0,sea,cal,c,070319,2
676.0,-0.04992636273044339,25.0,AC9_070319_sea_cal_c_2_T25_0,sea,cal,c,070319,2
715.0,-0.03505442451420033,25.0,AC9_070319_sea_cal_c_2_T25_0,sea,cal,c,070319,2
412.0,-0.524564501915709,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
440.0,-0.3281294827586206,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
488.0,-0.18618003831417615,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
510.0,-0.15576553639846746,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
532.0,-0.1364911877394635,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
555.0,-0.13490816091954028,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
650.0,-0.12156542145593875,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
676.0,-0.1064581609195403,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
715.0,-0.09137145593869736,24.5,AC9_070319_sea_cal_c_3_T24_5,sea,cal,c,070319,3
412.0,3.9420413776722096,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
440.0,2.666541045130641,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
488.0,1.7179621377672218,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
510.0,1.3993205938242286,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
532.0,1.276924679334916,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
555.0,1.2859087410926364,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
650.0,1.179464180522566,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
676.0,1.0102943942992877,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
715.0,1.0742907363420422,22.0,AC9_071119_ch6_fil_a_1_T22_0,ch6,fil,a,071119,1
412.0,3.55267989200864,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
440.0,2.189355658747298,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
488.0,1.1882320518358538,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
510.0,0.9418769330453566,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
532.0,0.7810330237580994,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
555.0,0.6805477969762411,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
650.0,0.4510880561555076,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
676.0,0.4142919222462205,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
715.0,0.4037071058315334,22.7,AC9_071119_ch6_fil_a_2_T22_7,ch6,fil,a,071119,2
412.0,3.7676821088435335,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
440.0,2.4095390702947856,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
488.0,1.4054599092970526,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
510.0,1.1186851700680267,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
532.0,0.9663313605442188,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
555.0,0.9174897732426306,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
650.0,0.7269065079365079,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
676.0,0.6428295918367345,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
715.0,0.6607304761904761,22.3,AC9_071119_ch6_fil_a_3_T22_3,ch6,fil,a,071119,3
412.0,2.976039406175772,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
440.0,1.858192826603328,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
488.0,1.0151521377672212,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
510.0,0.8111662707838481,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
532.0,0.6595674821852732,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
555.0,0.5232631591448936,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
650.0,0.23604653206650825,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
676.0,0.21527391923990508,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
715.0,0.17146558194774322,22.0,AC9_071119_ch6_fil_c_1_T22_0,ch6,fil,c,071119,1
412.0,3.480934362850969,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
440.0,2.301586112311016,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
488.0,1.428636004319655,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
510.0,1.2661020950323976,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
532.0,1.2109249028077749,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
555.0,1.0129998272138223,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
650.0,0.8721740604751618,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
676.0,0.7298735637149024,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
715.0,0.7288930885529151,22.7,AC9_071119_ch6_fil_c_2_T22_7,ch6,fil,c,071119,2
412.0,3.280899229024944,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
440.0,2.1026767573696143,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
488.0,1.227739523809524,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
510.0,1.0569156689342405,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
532.0,0.9750107029478454,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
555.0,0.7933539682539685,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
650.0,0.625498707482993,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
676.0,0.5062158276643991,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
715.0,0.4960258276643989,22.3,AC9_071119_ch6_fil_c_3_T22_3,ch6,fil,c,071119,3
412.0,5.6590163561076645,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
440.0,3.944391180124229,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
488.0,2.6035726086956537,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
510.0,2.1629935610766027,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
532.0,1.9016814078674964,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
555.0,1.8068437060041418,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
650.0,1.4660217391304362,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
676.0,1.3542651345755694,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
715.0,1.3136962111801234,21.5,AC9_071119_ch6_raw_a_1_T21_5,ch6,raw,a,071119,1
412.0,5.763441113243772,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
440.0,4.037585719769673,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
488.0,2.673431842610363,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
510.0,2.2346247216890593,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
532.0,1.93787038387716,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
555.0,1.830557101727448,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
