	wl	c_mean	c_std	c_median	c_IQR
0	412.0	5.34169595194	0.0980209537126	5.31001	0.06774
1	440.0	3.52461426987	0.096204388691	3.49314	0.0649
2	488.0	2.13600861368	0.0942525038125	2.10642	0.06137
3	510.0	1.7793651756	0.097951002898	1.7475	0.06467
4	532.0	1.56802767098	0.0901690431569	1.53898	0.06119
5	555.0	1.32551563771	0.0876987072807	1.29735	0.06076
6	650.0	0.86780297597	0.087259826522	0.83705	0.05809
7	676.0	0.813477966728	0.0874891165714	0.78508	0.0589
8	715.0	0.740794011091	0.0846791815794	0.71249	0.05436
