wl	mean	std
412.0	63.0106807288	21.8514081482
440.0	50.2897636169	26.7840154233
488.0	38.8529124805	28.7579385793
510.0	35.5476256853	27.2653815097
532.0	33.3438497211	27.5624811603
555.0	31.4937773936	27.8238526977
650.0	27.455942795	27.5760244616
676.0	25.1950451453	26.1633108658
715.0	25.4164813753	28.0511847497
