wl	c_mean	c_std	c_median	c_var	c_IQR
412.0	3.8090428555126716	0.006598713826014139	3.6393	4.354302415763016e-05	0.011039999999999495
440.0	2.2659410847457617	0.006226294166486125	2.21014	3.876673904761914e-05	0.010949999999999791
488.0	1.0793891266991107	0.005024383586816533	1.1604	2.5244430427471373e-05	0.008269999999999778
510.0	0.8331075828159092	0.004894247343360519	0.90973	2.3953657057991494e-05	0.00873999999999997
532.0	0.6446479100520218	0.004942443083089295	0.78923	2.442774362957721e-05	0.008700000000000041
555.0	0.5285714629971473	0.004944110954996211	0.63217	2.444423313531355e-05	0.008750000000000036
650.0	0.2654816294680316	0.0042327712887986636	0.38601	1.7916352783278297e-05	0.007230000000000014
676.0	0.22794315489176037	0.004730114063436484	0.36195	2.2373979053119603e-05	0.008080000000000032
715.0	0.21235380013425087	0.004218483021237787	0.32083	1.7795599000471486e-05	0.007240000000000023
