wl	c_mean	c_std	c_median	c_var	c_IQR
412.0	8.68038594718	0.00709683282371	8.50908	5.03650361278e-05	0.0078225
440.0	5.11712395529	0.00530832476102	5.05839	2.81783117684e-05	0.0047775
488.0	2.2777394148	0.0041608241074	2.35697	1.73124572527e-05	0.0045
510.0	1.69112395361	0.00383981037703	1.766245	1.47441437315e-05	0.003475
532.0	1.25452008876	0.00406171677647	1.39773	1.64975431722e-05	0.00425
555.0	0.955837192267	0.00358449962859	1.05798	1.28486375874e-05	0.0036875
650.0	0.320410166995	0.00326290015312	0.43995	1.06465174092e-05	0.003675
676.0	0.250114888846	0.00317961577226	0.382105	1.01099564592e-05	0.0033125
715.0	0.183659416692	0.00315357330595	0.30841	9.94502459602e-06	0.00358
