wl	c_mean	c_std	c_median	c_var	c_IQR
412.0	4.30498798587	0.010750557033	4.13494	0.000115574476519	0.0135775
440.0	2.60468654435	0.0100921634419	2.547415	0.000101851762938	0.01156
488.0	1.29177952979	0.00877860394881	1.371545	7.706388729e-05	0.009235
510.0	1.00494918652	0.00793157584765	1.080385	6.29098954271e-05	0.00836
532.0	0.783661951806	0.0078175660418	0.92766	6.11143388179e-05	0.0087325
555.0	0.632820211522	0.00753302308304	0.735055	5.67464367696e-05	0.009185
650.0	0.287234940849	0.0064638251989	0.407155	4.17810362019e-05	0.00761
676.0	0.238434961222	0.00601876941639	0.37087	3.62255852877e-05	0.0077325
715.0	0.201925113166	0.0060376908658	0.32068	3.64537109909e-05	0.0075775
