Analysis_Type	Date	ID	Raw_File_Path	Rep	Sample_Type	Sensor	Site	Temp	Cleaned_raw_file_path	Summary_file_path	Conf	Pass_Manual_Removal	Summary_file_path_cleaned_MANUAL	Pass_Second_Removal	Summary_file_path_cleaned_SECOND
a	071418	AC9_071418_bai_fil_a_3_T18_5	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_fil_a_3_T18_5.dat	3	fil	AC9	bai	18.5	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_fil_a_3_T18_5.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_fil_a_3_T18_5.csv	0.147819819812	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_fil_a_3_T18_5.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_fil_a_3_T18_5.csv
c	071418	AC9_071418_bai_fil_c_1_T13_4	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_fil_c_1_T13_4.dat	1	fil	AC9	bai	13.4	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_fil_c_1_T13_4.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_fil_c_1_T13_4.csv	0.658676621537	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_fil_c_1_T13_4.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_fil_c_1_T13_4.csv
c	071418	AC9_071418_bai_fil_c_2_T19_2	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_fil_c_2_T19_2.dat	2	fil	AC9	bai	19.2	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_fil_c_2_T19_2.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_fil_c_2_T19_2.csv	1.73365724271	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_fil_c_2_T19_2.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_fil_c_2_T19_2.csv
c	071418	AC9_071418_bai_fil_c_3_T18_5	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_fil_c_3_T18_5.dat	3	fil	AC9	bai	18.5	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_fil_c_3_T18_5.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_fil_c_3_T18_5.csv	0.307887431312	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_fil_c_3_T18_5.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_fil_c_3_T18_5.csv
a	071418	AC9_071418_bai_raw_a_1_T19_8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_raw_a_1_T19_8.dat	1	raw	AC9	bai	19.8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_raw_a_1_T19_8.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_raw_a_1_T19_8.csv	0.342532283718	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_raw_a_1_T19_8.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_raw_a_1_T19_8.csv
a	071418	AC9_071418_bai_raw_a_2_T19_8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_raw_a_2_T19_8.dat	2	raw	AC9	bai	19.8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_raw_a_2_T19_8.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_raw_a_2_T19_8.csv	0.206898705664	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_raw_a_2_T19_8.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_raw_a_2_T19_8.csv
a	071418	AC9_071418_bai_raw_a_3_T17_8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_raw_a_3_T17_8.dat	3	raw	AC9	bai	17.8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_raw_a_3_T17_8.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_raw_a_3_T17_8.csv	0.280577287373	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_raw_a_3_T17_8.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_raw_a_3_T17_8.csv
c	071418	AC9_071418_bai_raw_c_1_T19_8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_raw_c_1_T19_8.dat	1	raw	AC9	bai	19.8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_raw_c_1_T19_8.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_raw_c_1_T19_8.csv	1.79474694275	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_raw_c_1_T19_8.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_raw_c_1_T19_8.csv
c	071418	AC9_071418_bai_raw_c_2_T19_8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_raw_c_2_T19_8.dat	2	raw	AC9	bai	19.8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_raw_c_2_T19_8.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_raw_c_2_T19_8.csv	0.988334256221	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_raw_c_2_T19_8.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_raw_c_2_T19_8.csv
c	071418	AC9_071418_bai_raw_c_3_T17_8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_1_renamed_originals/AC9_071418_bai_raw_c_3_T17_8.dat	3	raw	AC9	bai	17.8	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/1_2_cleaned_originals/cleaned_raw_AC9_071418_bai_raw_c_3_T17_8.csv	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_1_summary_stats/AC9_071418_bai_raw_c_3_T17_8.csv	1.46053160212	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_MANUAL/AC9_071418_bai_raw_c_3_T17_8.csv	pass	/Users/Petrichor/Documents/FreshwatersOpticsToolkit/Data/2_2_summary_stats_cleaned_2/AC9_071418_bai_raw_c_3_T17_8.csv
