Analysis_Type	Date	ID	Rep	Sample_Type	Sensor	Site
a	071718	AC9_071718_sco_raw_a_3_T18_3	3	raw	AC9	sco
c	071718	AC9_071718_sco_raw_c_1_T18_3	1	raw	AC9	sco
c	071718	AC9_071718_sco_raw_c_2_T18_3	2	raw	AC9	sco
c	071718	AC9_071718_sco_raw_c_3_T18_3	3	raw	AC9	sco
a	071718	AC9_071718_y17_fil_a_1_T17_4	1	fil	AC9	y17
a	071718	AC9_071718_y17_fil_a_2_T17_4	2	fil	AC9	y17
c	071718	AC9_071718_y17_fil_c_1_T17_4	1	fil	AC9	y17
c	071718	AC9_071718_y17_fil_c_2_T17_4	2	fil	AC9	y17
a	071718	AC9_071718_y17_raw_a_2_T17_1	2	raw	AC9	y17
a	071718	AC9_071718_y17_raw_a_3_T17_1	3	raw	AC9	y17
a	071718	AC9_071718_y17_raw_a_4_T17_1	4	raw	AC9	y17
c	071718	AC9_071718_y17_raw_c_2_T17_1	2	raw	AC9	y17
c	071718	AC9_071718_y17_raw_c_3_T17_1	3	raw	AC9	y17
c	071718	AC9_071718_y17_raw_c_4_T17_1	4	raw	AC9	y17
a	071718	AC9_071718_y20_fil_a_1_T17_0	1	fil	AC9	y20
a	071718	AC9_071718_y20_fil_a_2_T19_7	2	fil	AC9	y20
c	071718	AC9_071718_y20_fil_c_1_T17_0	1	fil	AC9	y20
c	071718	AC9_071718_y20_fil_c_2_T19_7	2	fil	AC9	y20
a	071718	AC9_071718_y20_raw_a_1_T16_8	1	raw	AC9	y20
a	071718	AC9_071718_y20_raw_a_2_T16_8	2	raw	AC9	y20
a	071718	AC9_071718_y20_raw_a_3_T16_8	3	raw	AC9	y20
c	071718	AC9_071718_y20_raw_c_1_T16_8	1	raw	AC9	y20
c	071718	AC9_071718_y20_raw_c_2_T16_8	2	raw	AC9	y20
c	071718	AC9_071718_y20_raw_c_3_T16_8	3	raw	AC9	y20
a	071818	AC9_071818_boo_fil_a_1_T22_3	1	fil	AC9	boo
a	071818	AC9_071818_boo_fil_a_2_T22_3	2	fil	AC9	boo
a	071818	AC9_071818_boo_fil_a_3_T21_9	3	fil	AC9	boo
c	071818	AC9_071818_boo_fil_c_1_T22_3	1	fil	AC9	boo
c	071818	AC9_071818_boo_fil_c_2_T22_3	2	fil	AC9	boo
c	071818	AC9_071818_boo_fil_c_3_T21_9	3	fil	AC9	boo
a	071818	AC9_071818_boo_raw_a_1_T17_0	1	raw	AC9	boo
a	071818	AC9_071818_boo_raw_a_2_T17_0	2	raw	AC9	boo
a	071818	AC9_071818_boo_raw_a_3_T17_0	3	raw	AC9	boo
c	071818	AC9_071818_boo_raw_c_1_T17_0	1	raw	AC9	boo
c	071818	AC9_071818_boo_raw_c_2_T17_0	2	raw	AC9	boo
c	071818	AC9_071818_boo_raw_c_3_T17_0	3	raw	AC9	boo
a	071818	AC9_071818_can_cal_a_1_T21_2	1	cal	AC9	can
a	071818	AC9_071818_can_cal_a_2_T21_2	2	cal	AC9	can
a	071818	AC9_071818_can_cal_a_3_T21_2	3	cal	AC9	can
c	071818	AC9_071818_can_cal_c_1_T21_2	1	cal	AC9	can
c	071818	AC9_071818_can_cal_c_2_T21_2	2	cal	AC9	can
c	071818	AC9_071818_can_cal_c_3_T21_2	3	cal	AC9	can
a	071818	AC9_071818_gre_fil_a_1_T22_4	1	fil	AC9	gre
a	071818	AC9_071818_gre_fil_a_2_T22_3	2	fil	AC9	gre
a	071818	AC9_071818_gre_fil_a_3_T22_0	3	fil	AC9	gre
c	071818	AC9_071818_gre_fil_c_1_T22_4	1	fil	AC9	gre
c	071818	AC9_071818_gre_fil_c_2_T22_3	2	fil	AC9	gre
c	071818	AC9_071818_gre_fil_c_3_T22_0	3	fil	AC9	gre
a	071818	AC9_071818_gre_raw_a_1_T17_1	1	raw	AC9	gre
a	071818	AC9_071818_gre_raw_a_2_T17_1	2	raw	AC9	gre
a	071818	AC9_071818_gre_raw_a_3_T17_1	3	raw	AC9	gre
c	071818	AC9_071818_gre_raw_c_1_T17_1	1	raw	AC9	gre
c	071818	AC9_071818_gre_raw_c_2_T17_1	2	raw	AC9	gre
c	071818	AC9_071818_gre_raw_c_3_T17_1	3	raw	AC9	gre
a	071918	AC9_071918_can_cal_a_1_T21_6	1	cal	AC9	can
a	071918	AC9_071918_can_cal_a_2_T20_4	2	cal	AC9	can
a	071918	AC9_071918_can_cal_a_3_T20_1	3	cal	AC9	can
c	071918	AC9_071918_can_cal_c_1_T21_6	1	cal	AC9	can
c	071918	AC9_071918_can_cal_c_2_T20_4	2	cal	AC9	can
c	071918	AC9_071918_can_cal_c_3_T20_1	3	cal	AC9	can
a	071918	AC9_071918_cbr_fil_a_1_T19_8	1	fil	AC9	cbr
a	071918	AC9_071918_cbr_fil_a_2_T19_8	2	fil	AC9	cbr
a	071918	AC9_071918_cbr_fil_a_3_T19_2	3	fil	AC9	cbr
c	071918	AC9_071918_cbr_fil_c_1_T19_8	1	fil	AC9	cbr
c	071918	AC9_071918_cbr_fil_c_2_T19_8	2	fil	AC9	cbr
c	071918	AC9_071918_cbr_fil_c_3_T19_2	3	fil	AC9	cbr
a	071918	AC9_071918_cbr_raw_a_2_T16_1	2	raw	AC9	cbr
a	071918	AC9_071918_cbr_raw_a_3_T16_1	3	raw	AC9	cbr
a	071918	AC9_071918_cbr_raw_a_4_T16_1	4	raw	AC9	cbr
c	071918	AC9_071918_cbr_raw_c_2_T16_1	2	raw	AC9	cbr
c	071918	AC9_071918_cbr_raw_c_3_T16_1	3	raw	AC9	cbr
c	071918	AC9_071918_cbr_raw_c_4_T16_1	4	raw	AC9	cbr
