	wl	a_mean	a_std	a_median	a_IQR
0	412.0	0.651450181087	0.00481798685644	0.65142	0.0064525
1	440.0	0.390770503018	0.00319190140678	0.39092	0.0045
2	488.0	0.222344647887	0.00272039126361	0.22248	0.00395
3	510.0	0.174682515091	0.00210883818767	0.17469	0.002865
4	532.0	0.168782665996	0.00229900684261	0.168875	0.0033
5	555.0	0.130895301811	0.00236363652085	0.130935	0.00324
6	650.0	0.0806846579477	0.00190205875997	0.080735	0.002505
7	676.0	0.09039277666	0.00182265068653	0.09043	0.0024975
8	715.0	0.0547255231388	0.00181167006292	0.054785	0.0024625
