	a_412_mean	a_412_std	a_440_mean	a_440_std	a_488_mean	a_488_std	a_510_mean	a_510_std	a_532_mean	a_532_std	a_555_mean	a_555_std	a_650_mean	a_650_std	a_676_mean	a_676_std	a_715_mean	a_715_std	b_412_mean	b_412_std	b_440_mean	b_440_std	b_488_mean	b_488_std	b_510_mean	b_510_std	b_532_mean	b_532_std	b_555_mean	b_555_std	b_650_mean	b_650_std	b_676_mean	b_676_std	b_715_mean	b_715_std	c_412_mean	c_412_std	c_440_mean	c_440_std	c_488_mean	c_488_std	c_510_mean	c_510_std	c_532_mean	c_532_std	c_555_mean	c_555_std	c_650_mean	c_650_std	c_676_mean	c_676_std	c_715_mean	c_715_std
9mi	6.07940860209	0.0559659532847	3.95256887489	0.0557711464845	2.18562504472	0.0488770047385	1.75510878087	0.0513788445422	1.42850407386	0.042189132958	1.18482104068	0.0406267937668	0.739844629043	0.041226939539	0.761315371841	0.0389791376247	0.556958939205	0.035762289779	2.5636299972	0.149941469065	2.77469408109	0.148905635841	2.86755602356	0.138285862236	2.81769607763	0.131296621346	2.79281882233	0.12769852939	2.68528318463	0.129425747695	2.32339696411	0.127348067483	2.15973566945	0.12179211922	2.16808549919	0.115890519203	8.64303859929	0.139105198387	6.72726295598	0.138066895399	5.05318106828	0.129360032862	4.5728048585	0.120826392442	4.2213228962	0.120527969653	3.8701042253	0.122884042067	3.06324159316	0.120490123031	2.92105104129	0.115386078598	2.7250444384	0.110234618296
bai	44.5156961209	4.53827441615	31.9125303321	4.75669694082	20.4524991084	5.22101884516	17.5557759999	5.18331106949	15.2610380336	4.89939329242	13.7065352184	5.28903206782	9.68039497559	5.45789329306	9.08614752703	5.27092058121	7.99922397743	5.4218748949	18.4949846078	22.3177053645	18.3772332848	27.2031183503	18.4004133721	29.2280356697	17.9918496854	27.753697817	18.0828116876	27.9945427243	17.7872421752	28.3220874788	17.7755478194	28.1109538135	16.1088976183	26.688975987	17.4172573979	28.5703638975	63.0106807288	21.8514081482	50.2897636169	26.7840154233	38.8529124805	28.7579385793	35.5476256853	27.2653815097	33.3438497211	27.5624811603	31.4937773936	27.8238526977	27.455942795	27.5760244616	25.1950451453	26.1633108658	25.4164813753	28.0511847497
boo	5.16177146217	0.115468513391	3.20800303456	0.111161430023	1.61268492612	0.111591811133	1.24249789477	0.102734526417	0.984084601859	0.10667848704	0.772679735997	0.105117276304	0.354720038135	0.0993698418184	0.344581326707	0.105310795895	0.21329786176	0.105223667646	-0.0498540301533	0.214561661018	0.267672171297	0.224340440945	0.528723123627	0.225729178838	0.551308348647	0.214639856956	0.606564259404	0.225225333476	0.587969226519	0.220549789765	0.563664989491	0.213150240048	0.523495643743	0.226589385401	0.577440531737	0.223850155845	5.11191743201	0.180841723045	3.47567520586	0.194863464812	2.14140804975	0.196216538209	1.79380624341	0.188456587245	1.59064886126	0.198358642973	1.36064896252	0.193888029512	0.918385027626	0.188570038367	0.86807697045	0.200629972447	0.790738393497	0.19757750894
cbr	10.0202147372	0.263229821217	6.03258435664	0.17452826334	2.81186057723	0.108577634795	2.11728413387	0.104220674767	1.61737508284	0.0914102187912	1.24165017451	0.0888596085995	0.485670195766	0.082220569139	0.439838400622	0.0853699587917	0.278301180391	0.078611839239	0.0919679771	0.380376855548	0.34321929508	0.274133226668	0.555554733923	0.212551170821	0.56114125475	0.205895164847	0.608375646237	0.201154129312	0.574544649953	0.199980251365	0.528004857364	0.187187394489	0.484942002505	0.196445759823	0.525470082789	0.188069934658	10.1121827143	0.274584437757	6.37580365172	0.21139751952	3.36741531116	0.182726291047	2.67842538862	0.177569338171	2.22575072907	0.179184697003	1.81619482446	0.179153763275	1.01367505313	0.168163309512	0.924780403127	0.176926274726	0.80377126318	0.170852214073
gre	2.58844804	0.140000751382	1.72102661933	0.137017194628	0.966644789559	0.134136070001	0.772083301969	0.129122586804	0.638295459761	0.129914315636	0.533177413978	0.128024802055	0.331019741416	0.129330160627	0.368576444666	0.129749333338	0.237928916477	0.127854687766	1.21189031873	0.288357510988	1.42867488267	0.283277430578	1.54063688106	0.288297076601	1.50569549765	0.284953400512	1.49005051954	0.283752205483	1.40201533955	0.28193371204	1.16889322059	0.284491768499	1.08746177364	0.289346230913	1.08884849695	0.288585869757	3.80033835873	0.252090943422	3.149701502	0.247936264091	2.50728167062	0.255191534149	2.27777879962	0.254019286749	2.1283459793	0.252264909786	1.93519275353	0.25118970529	1.49991296201	0.253395493046	1.45603821831	0.258623958368	1.32677741343	0.258717960412
sco	4.28964854965	0.127721599814	3.09389442099	0.115397465113	1.8730589311	0.10124132814	1.54911212968	0.0975250430256	1.29041640693	0.0969906615898	1.08477083541	0.0949919518877	0.728333871234	0.0902484495168	0.74358298722	0.0893100812426	0.526843469774	0.0901611542878	2.6233900761	0.265325877701	2.91642549762	0.250087467396	2.99857185274	0.231717601663	2.92397899047	0.237358828164	2.85653217087	0.235863450506	2.71107271614	0.238442796442	2.1945849257	0.229402170569	2.01719796009	0.229351830848	1.96506233374	0.229940640328	6.91303862576	0.232561850523	6.01031991861	0.221871959459	4.87163078384	0.208430420996	4.47309112015	0.216397965079	4.1469485778	0.214998555458	3.79584355155	0.21870412948	2.92291879694	0.21090418019	2.76078094731	0.211248601656	2.49190580352	0.211526982515
y17	11.717586546	0.341889336857	9.15872285337	0.349471326149	6.25269944334	0.313065130214	5.43651651884	0.295900215796	4.7082480788	0.270243120861	4.15670706163	0.254246093063	3.49523620389	0.25570228744	3.72304634567	0.261296112515	2.68580555211	0.224372426044	11.2614948122	0.931575090296	10.9947568487	0.935488566214	10.823944325	0.894043608974	10.650708068	0.854387903886	10.5111257706	0.822388076136	10.2103255507	0.802884504906	8.61061557858	0.76660903482	8.00461863137	0.753914174237	8.06485032803	0.707184241296	22.9790813581	0.866570153077	20.1534797021	0.86776070994	17.0766437684	0.837439071809	16.0872245868	0.80151216622	15.2193738494	0.77671796902	14.3670326123	0.761565789923	12.1058517825	0.722707238421	11.727664977	0.707185211737	10.7506558801	0.670646378927
y20	5.43981647594	0.146895367306	3.32646806479	0.144228105562	1.70303458028	0.135120577916	1.32746475089	0.137067206525	1.05934419721	0.12965512949	0.838905465636	0.12662662161	0.396228160886	0.127763519765	0.377995613036	0.133459015814	0.259231344667	0.124271722752	0.00582500379333	0.350926458105	0.300200123633	0.344792849684	0.531686520977	0.332937436341	0.544447290747	0.334492397143	0.603384734407	0.329458679527	0.577196605694	0.321645872169	0.557806552904	0.320974164027	0.520883269179	0.331239806571	0.563677964964	0.312594849291	5.44564147974	0.318702259268	3.62666818842	0.313177845256	2.23472110125	0.304285665027	1.87191204163	0.305119230207	1.66272893161	0.302873849833	1.41610207133	0.295671719619	0.95403471379	0.294450160452	0.898878882215	0.303164147872	0.82290930963	0.286831097909
