	a_412_mean	a_412_std	a_440_mean	a_440_std	a_488_mean	a_488_std	a_510_mean	a_510_std	a_532_mean	a_532_std	a_555_mean	a_555_std	a_650_mean	a_650_std	a_676_mean	a_676_std	a_715_mean	a_715_std	c_412_mean	c_412_std	c_440_mean	c_440_std	c_488_mean	c_488_std	c_510_mean	c_510_std	c_532_mean	c_532_std	c_555_mean	c_555_std	c_650_mean	c_650_std	c_676_mean	c_676_std	c_715_mean	c_715_std
9mi	4.239384	0.242641182943	2.4369779604	0.0487071769955	1.09992483168	0.0445504655306	0.819111207921	0.114746983368	0.629009188119	0.274198908082	0.474481386139	0.230942121754	0.179822594059	0.128404101901	0.169927564356	0.0395468031413	0.0978931683168	0.0329665932137	3.64856620148	0.00871057647711	2.209896725	0.00864366530311	1.15517036398	0.00776869361295	0.902680766832	0.00726375106292	0.782361145916	0.00716257863844	0.62380987599	0.00702923955145	0.377822681683	0.00641629806926	0.352957681683	0.00675454944174	0.312994810025	0.0063166695158
bai	37.9607130713	4.46945244567	25.9044225762	4.82353968781	15.1002858402	4.84834531892	12.5389104548	4.92150855506	10.5207785799	4.97395609889	9.07397445497	5.07803297328	5.31710185387	4.8195525844	4.73231199592	4.92344531937	4.05116888214	4.82739185121	39.1293683011	15.4631755137	27.1527810542	17.2872899277	16.6670182411	18.2491703254	14.1383886365	18.8921197131	12.1237694647	17.8982024041	10.5812783033	17.2669462212	6.84540531969	16.4674382257	6.21176570912	17.1742494177	5.78940550888	18.8362314214
boo	4.41052456452	0.0100373961933	2.61791532851	0.00556454950655	1.22154558026	0.00413582942679	0.912698065058	0.00333562477213	0.706348354533	0.00333672171944	0.530660651491	0.00354521928706	0.181173362293	0.00271778463411	0.156725633308	0.00262234708149	0.101234260774	0.00249046343664	3.77556407106	0.0101603059404	2.31585336135	0.00901179702656	1.18809086002	0.00806049898938	0.913309160882	0.00777345763183	0.775619472986	0.00810625745713	0.598665912785	0.0075015535797	0.308440066746	0.00698436793048	0.285017263009	0.00676591208038	0.256191560669	0.00707192141838
cbr	9.14778806344	0.251111614461	5.38243625606	0.0533774913227	2.40467724138	0.0166689482707	1.77492086881	0.0127622651722	1.33579405699	0.0189936996968	0.996450281038	0.0201196273999	0.316650537179	0.0228013293415	0.257361447257	0.0257256128604	0.152547588427	0.0240229824518	8.51672107991	0.0190708156323	5.06317969004	0.0166416321472	2.35829965663	0.0150396902775	1.76597178914	0.0137765262976	1.39835788599	0.0134995015322	1.05678759838	0.0132207901226	0.437914155239	0.0117354474007	0.37977642886	0.0111923880905	0.305363929002	0.0110403777482
gre	1.98398293387	0.00932844187283	1.14705030637	0.00602468163011	0.541003924346	0.00519886983897	0.407002719691	0.00445843733027	0.335149707619	0.0047749907961	0.254267755314	0.00474977218251	0.110241513582	0.00414265592187	0.109922974522	0.00375180667875	0.0738995131643	0.00349626922565	1.29799280437	0.00960131267475	0.827978428251	0.00800719884174	0.515358576998	0.0079960177803	0.419928156668	0.00752650005181	0.422549404791	0.00738008117396	0.338196033851	0.00706747740152	0.260686764256	0.00720238837824	0.259600779323	0.0065848665764	0.253171998752	0.0071331988611
sco	2.10711562473	0.0471713838653	1.22883269296	0.0169444585312	0.580961391745	0.0120456784879	0.436664630095	0.0107214487146	0.356192364214	0.012920352078	0.272113560925	0.0114975228341	0.124869833781	0.010357661528	0.124632980974	0.0100760237312	0.0720389237797	0.00894111962412	1.75235225315	1.69182889922	1.232817368	1.67481183666	0.866191229471	1.57875305968	0.757824863806	1.34237890874	0.749188240737	1.27288817381	0.640089583331	1.1065229836	0.526119309074	1.03913599531	0.526700745684	1.10059826029	0.493907678608	1.19874975043
y17	7.07286684503	0.0334490839715	4.70635554907	0.0315792846722	2.61420520143	0.030082276263	2.17454652542	0.0281196909921	1.81366811956	0.0283897628043	1.58731257814	0.0276079596367	1.00773647586	0.0268048671256	1.37306593854	0.029059758511	0.773352696873	0.0217902454622	8.9534718251	0.064917764048	6.65204489128	0.0684064163342	4.64380179812	0.0637424548642	4.126753226	0.0618272513671	3.76661373157	0.0596600179716	3.39746888153	0.0579731399477	2.61942547842	0.0502377832076	2.53725052308	0.050871822313	2.28351793822	0.0465659313203
y20	4.61918266853	0.0252102375343	2.71184746361	0.0134140353885	1.28713348442	0.00814297383857	0.970680293407	0.00684739955162	0.757517144059	0.00688381046799	0.576448127156	0.0063404410255	0.211744831826	0.0052888802913	0.184418346981	0.00518456660796	0.109481119059	0.00462622940333	4.220128292	0.0308572131436	2.62214465969	0.0293365350457	1.43730390349	0.0271210902851	1.14390358289	0.0260671820229	0.990724701807	0.0255906950443	0.796608281478	0.0246115998617	0.459604457967	0.0212732124135	0.424875477377	0.0207558900166	0.371852323514	0.0200896768973
