wl,mean,std,lake
412.0,4.09678864716361,0.4356386137178326,bea
440.0,2.8640186175664564,0.09873659644448282,bea
488.0,1.922015817484242,0.05027608567113885,bea
510.0,1.6831062580158944,0.04514826355698015,bea
532.0,1.4968094794464233,0.04382325279319668,bea
555.0,1.3600350258975071,0.0664919000714686,bea
650.0,1.1167622844614953,0.08669332394179312,bea
676.0,1.0974094727322552,0.14595478989062688,bea
715.0,1.0318228489997254,0.13207548470046945,bea
412.0,3.754134459508128,0.4998626460378967,ch6
440.0,2.4218119247242416,0.3238059770307682,ch6
488.0,1.4372180329667092,0.20524642234233995,ch6
510.0,1.1532942323125372,0.16579534991706565,ch6
532.0,1.0080963545457446,0.1533704110585457,ch6
555.0,0.9613154371038359,0.16226376023538172,ch6
650.0,0.7858195815381941,0.16069828879791032,ch6
676.0,0.6891386361274142,0.13949233518469986,ch6
715.0,0.7129094394546839,0.14194994352638693,ch6
412.0,2.7929853964163542,0.04033883371970715,dor
440.0,1.9194144270574052,0.03692805202829107,dor
488.0,1.2764190984268555,0.034587772779526266,dor
510.0,1.1333938752196608,0.03400743308886724,dor
532.0,1.0262471033559142,0.032653623323918766,dor
555.0,0.9426821664166468,0.031972913849634604,dor
650.0,0.7987658648076681,0.029661013440928457,dor
676.0,0.7860123390149649,0.029098730880471543,dor
715.0,0.7496590834779986,0.030633979625207936,dor
412.0,17.017488327761722,0.027595981493042456,egg
440.0,10.398532354518233,0.014168855787012304,egg
488.0,5.314715939279054,0.011568539075782052,egg
510.0,4.103161755303438,0.010923782729075305,egg
532.0,3.1767902461656337,0.01079159329510764,egg
555.0,2.4533404819178948,0.010109804294629354,egg
650.0,1.0192703189065198,0.009102437639916274,egg
676.0,0.8927717220137283,0.009165964213122777,egg
715.0,0.6168898078999092,0.007500867603170056,egg
412.0,5.334880787937246,0.24607421342629476,flt
440.0,3.6281329127146735,0.13528075571904835,flt
488.0,2.333191108028005,0.12940325683592674,flt
510.0,1.9892512023541775,0.1228699634187651,flt
532.0,1.7669407986745729,0.11924428004307185,flt
555.0,1.66724802804812,0.13215682569493273,flt
650.0,1.350827530022168,0.12922380679278248,flt
676.0,1.2985747700078394,0.12960582202696966,flt
715.0,1.2528142036287362,0.13415385521701628,flt
412.0,2.0511596817928783,0.04892425521784855,gst
440.0,1.572972921639713,0.04624561452822916,gst
488.0,1.166641263798933,0.04496987384519356,gst
510.0,1.0629136046274796,0.04462153455368865,gst
532.0,0.9799479386804628,0.04430722375769952,gst
555.0,0.9162948060341906,0.044316351802166316,gst
650.0,0.8049417171778894,0.04335160897177625,gst
676.0,0.8047842582861483,0.04267379967961447,gst
715.0,0.7341554955395329,0.04586915597293637,gst
412.0,7.814718857304371,0.020859924872718486,lim
440.0,5.1870989423465215,0.01822117205305542,lim
488.0,3.081640744227508,0.01644612058309676,lim
510.0,2.5352676539952443,0.016271303755555713,lim
532.0,2.109745702374222,0.01519065089086619,lim
555.0,1.7831502652519893,0.014851803116959581,lim
650.0,1.0964548264991083,0.013500391596486328,lim
676.0,1.0337408377490225,0.01306994741882434,lim
715.0,0.8515627684201039,0.013763628044926413,lim
412.0,6.964289791186527,0.032128835870515585,lit
440.0,5.177599700724804,0.02852559776313804,lit
488.0,3.6356487190806495,0.02566262270736955,lit
510.0,3.2009146918920326,0.024773102028662262,lit
532.0,2.85789257237865,0.023381583847611024,lit
555.0,2.586936037053122,0.022667076360318655,lit
650.0,2.194683819989533,0.01934591220879641,lit
676.0,2.3503073913067674,0.01886805574262505,lit
715.0,1.9432195622580728,0.016610880951209144,lit
412.0,16.523725461444712,0.026174363113836224,rat
440.0,10.373090873674693,0.008235449846098841,rat
488.0,5.806939511895197,0.0065949435101693476,rat
510.0,4.715655366981039,0.006307818944236687,rat
532.0,3.9067612642026126,0.006303534874353347,rat
555.0,3.3024204486543827,0.006399644120503242,rat
650.0,2.088880825159944,0.006136722200002844,rat
676.0,1.9381597960766108,0.00623874762469675,rat
715.0,1.7119112597830792,0.008337222094977725,rat
412.0,12.019941543082027,0.04017447696375896,rob
440.0,8.039374398494479,0.035092938967035074,rob
488.0,4.946394538305668,0.03107525257493638,rob
510.0,4.1414897951749285,0.02974019125053048,rob
532.0,3.5162716554583056,0.027845664349915127,rob
555.0,3.020026088245837,0.02684265702642937,rob
650.0,2.2619772889363112,0.02390864456676377,rob
676.0,2.248483003835069,0.023074917619306468,rob
715.0,1.9275163442671712,0.022048005529789715,rob
412.0,7.809729507213699,0.01706905018988244,roc
440.0,4.4485637450891335,0.013113381496238335,roc
488.0,2.0975727747088673,0.011312623305556728,roc
510.0,1.5825220496631258,0.010711300183409149,roc
532.0,1.2073870600293242,0.00959287688273854,roc
555.0,0.9232004890766892,0.009427485047606321,roc
650.0,0.41029020791214416,0.00812926625079253,roc
676.0,0.3592586044874951,0.007921958546383962,roc
715.0,0.2871478773965795,0.007778803845630831,roc
412.0,4.114539137120687,0.029605980066639108,thi
440.0,2.6911938275187706,0.027492473837203952,thi
488.0,1.6308064793230712,0.02490923343732029,thi
510.0,1.371403483928459,0.02478364114259317,thi
532.0,1.1742190704056537,0.02308242683362694,thi
555.0,1.0205492688158475,0.0226071295154056,thi
650.0,0.7503254558860644,0.02005780630657441,thi
676.0,0.7276466334931555,0.019277103653688087,thi
715.0,0.6613908534161876,0.017835971983340578,thi
