lake,wl,Statistic,Value,Side,Variable
lim,555.0,mean,0.5159781368668035,a,a_555_mean
lim,650.0,mean,0.1872097328445914,a,a_650_mean
lim,676.0,mean,0.1772059456778836,a,a_676_mean
lim,715.0,mean,0.0,a,a_715_mean
lit,412.0,mean,1.67366203844078,a,a_412_mean
lit,440.0,mean,1.3535872005302598,a,a_440_mean
lit,488.0,mean,0.7716854649819989,a,a_488_mean
lit,510.0,mean,0.5968993359398562,a,a_510_mean
lit,532.0,mean,0.4331221855197398,a,a_532_mean
lit,555.0,mean,0.3157958275413748,a,a_555_mean
lit,650.0,mean,0.16498000786962336,a,a_650_mean
lit,676.0,mean,0.27336292756208525,a,a_676_mean
lit,715.0,mean,0.0,a,a_715_mean
rat,412.0,mean,7.256240441540665,a,a_412_mean
rat,440.0,mean,4.785508933213484,a,a_440_mean
rat,488.0,mean,2.8281726375887395,a,a_488_mean
rat,510.0,mean,2.1476273021860486,a,a_510_mean
rat,532.0,mean,1.588864266099999,a,a_532_mean
rat,555.0,mean,1.1775386235494936,a,a_555_mean
rat,650.0,mean,0.2853627533989922,a,a_650_mean
rat,676.0,mean,0.19290184402203425,a,a_676_mean
rat,715.0,mean,0.0,a,a_715_mean
rob,412.0,mean,0.4971603630913029,a,a_412_mean
rob,440.0,mean,0.4160730165777611,a,a_440_mean
rob,488.0,mean,0.2748156638928927,a,a_488_mean
rob,510.0,mean,0.19254188799072905,a,a_510_mean
rob,532.0,mean,0.12285122049836185,a,a_532_mean
rob,555.0,mean,0.10012178151999353,a,a_555_mean
rob,650.0,mean,0.04300075928038605,a,a_650_mean
rob,676.0,mean,0.07309861235025505,a,a_676_mean
rob,715.0,mean,0.0,a,a_715_mean
roc,412.0,mean,0.7610831341286622,a,a_412_mean
roc,440.0,mean,0.5452613006826149,a,a_440_mean
roc,488.0,mean,0.32515514149293395,a,a_488_mean
roc,510.0,mean,0.2490220397950337,a,a_510_mean
roc,532.0,mean,0.1824055727655144,a,a_532_mean
roc,555.0,mean,0.1339734080437854,a,a_555_mean
roc,650.0,mean,0.04212004336161018,a,a_650_mean
roc,676.0,mean,0.05275254040406405,a,a_676_mean
roc,715.0,mean,0.0,a,a_715_mean
thi,412.0,mean,0.4046482893489745,a,a_412_mean
thi,440.0,mean,0.3127853813148649,a,a_440_mean
thi,488.0,mean,0.1976709020011853,a,a_488_mean
thi,510.0,mean,0.14892040146083696,a,a_510_mean
thi,532.0,mean,0.10665015875318627,a,a_532_mean
thi,555.0,mean,0.06986032580578283,a,a_555_mean
thi,650.0,mean,0.02779270053199966,a,a_650_mean
thi,676.0,mean,0.05094556353622914,a,a_676_mean
thi,715.0,mean,0.0,a,a_715_mean
bea,412.0,std,0.4359692367737569,a,a_412_std
bea,440.0,std,0.10005938829613166,a,a_440_std
bea,488.0,std,0.05244061436309051,a,a_488_std
bea,510.0,std,0.04717035321488968,a,a_510_std
bea,532.0,std,0.0457316056381586,a,a_532_std
bea,555.0,std,0.06771563817916082,a,a_555_std
bea,650.0,std,0.08753564706889534,a,a_650_std
bea,676.0,std,0.14642846054074588,a,a_676_std
bea,715.0,std,0.13247817017833985,a,a_715_std
ch6,412.0,std,0.555127164286501,a,a_412_std
ch6,440.0,std,0.37841345662129416,a,a_440_std
ch6,488.0,std,0.2581333556986925,a,a_488_std
ch6,510.0,std,0.21473105911634094,a,a_510_std
ch6,532.0,std,0.19707350817263367,a,a_532_std
ch6,555.0,std,0.20093111023838672,a,a_555_std
ch6,650.0,std,0.18901432739993052,a,a_650_std
ch6,676.0,std,0.17035351049213265,a,a_676_std
ch6,715.0,std,0.16801400023185006,a,a_715_std
dor,412.0,std,0.049354694678111065,a,a_412_std
dor,440.0,std,0.04516668031628197,a,a_440_std
dor,488.0,std,0.041877951515890514,a,a_488_std
dor,510.0,std,0.04088766163831594,a,a_510_std
dor,532.0,std,0.038998098199066036,a,a_532_std
dor,555.0,std,0.03808316526103856,a,a_555_std
dor,650.0,std,0.034836460549756317,a,a_650_std
dor,676.0,std,0.034014173430470064,a,a_676_std
dor,715.0,std,0.0345327668380683,a,a_715_std
egg,412.0,std,0.32999424338390504,a,a_412_std
egg,440.0,std,0.06911202514607595,a,a_440_std
egg,488.0,std,0.035123264680878216,a,a_488_std
egg,510.0,std,0.032549428596221036,a,a_510_std
egg,532.0,std,0.0319519231762955,a,a_532_std
egg,555.0,std,0.04804631370809007,a,a_555_std
egg,650.0,std,0.02211926299068151,a,a_650_std
egg,676.0,std,0.02879429469647905,a,a_676_std
egg,715.0,std,0.01927091381825587,a,a_715_std
flt,412.0,std,0.36003371731746203,a,a_412_std
flt,440.0,std,0.1665635426883893,a,a_440_std
flt,488.0,std,0.14850345068836499,a,a_488_std
flt,510.0,std,0.14291070184244847,a,a_510_std
flt,532.0,std,0.13923920478224913,a,a_532_std
flt,555.0,std,0.15801231339077124,a,a_555_std
flt,650.0,std,0.1514763622612263,a,a_650_std
flt,676.0,std,0.15124317686264027,a,a_676_std
flt,715.0,std,0.15535357971542604,a,a_715_std
gst,412.0,std,0.06322666865996722,a,a_412_std
gst,440.0,std,0.058308456830426125,a,a_440_std
gst,488.0,std,0.05424832041287759,a,a_488_std
gst,510.0,std,0.053025921734161714,a,a_510_std
gst,532.0,std,0.051792846776197984,a,a_532_std
gst,555.0,std,0.05090634945288902,a,a_555_std
gst,650.0,std,0.04843103095738757,a,a_650_std
gst,676.0,std,0.04748950216854275,a,a_676_std
gst,715.0,std,0.04903737680530259,a,a_715_std
lim,412.0,std,0.03385555494616682,a,a_412_std
lim,440.0,std,0.02768452369637148,a,a_440_std
lim,488.0,std,0.0234226955438696,a,a_488_std
lim,510.0,std,0.023080110357583884,a,a_510_std
lim,532.0,std,0.02101057867212336,a,a_532_std
lim,555.0,std,0.02065783416725629,a,a_555_std
lim,650.0,std,0.018021730101404704,a,a_650_std
lim,676.0,std,0.01760193363942789,a,a_676_std
lim,715.0,std,0.01749628553380693,a,a_715_std
lit,412.0,std,0.04553333817374899,a,a_412_std
lit,440.0,std,0.03958269434333025,a,a_440_std
lit,488.0,std,0.03437574215530111,a,a_488_std
lit,510.0,std,0.03244663020237557,a,a_510_std
lit,532.0,std,0.029927281293255125,a,a_532_std
lit,555.0,std,0.02882460014182698,a,a_555_std
lit,650.0,std,0.024258060104376138,a,a_650_std
lit,676.0,std,0.024554457201494555,a,a_676_std
lit,715.0,std,0.020779161182552144,a,a_715_std
rat,412.0,std,0.09403378552859412,a,a_412_std
rat,440.0,std,0.028147928802339538,a,a_440_std
rat,488.0,std,0.02365636249887336,a,a_488_std
rat,510.0,std,0.022140110613951387,a,a_510_std
rat,532.0,std,0.021108392296827986,a,a_532_std
rat,555.0,std,0.022243404659257,a,a_555_std
rat,650.0,std,0.020333318197922747,a,a_650_std
rat,676.0,std,0.021459552800331537,a,a_676_std
rat,715.0,std,0.022908202301111704,a,a_715_std
rob,412.0,std,0.11655051804928862,a,a_412_std
rob,440.0,std,0.12307540847869004,a,a_440_std
rob,488.0,std,0.12506751571209088,a,a_488_std
rob,510.0,std,0.11559207191746265,a,a_510_std
rob,532.0,std,0.10883717003887997,a,a_532_std
rob,555.0,std,0.12245460072910333,a,a_555_std
rob,650.0,std,0.11985112031425488,a,a_650_std
rob,676.0,std,0.12322997365260735,a,a_676_std
rob,715.0,std,0.1233801983103094,a,a_715_std
roc,412.0,std,0.02686942108145524,a,a_412_std
roc,440.0,std,0.02063846842063773,a,a_440_std
roc,488.0,std,0.01727427027139695,a,a_488_std
roc,510.0,std,0.0161081744855512,a,a_510_std
roc,532.0,std,0.014568991741816743,a,a_532_std
roc,555.0,std,0.013954269636695129,a,a_555_std
roc,650.0,std,0.01184777139942503,a,a_650_std
roc,676.0,std,0.0117711405463297,a,a_676_std
roc,715.0,std,0.010681106895699923,a,a_715_std
