	Unnamed: 0	wl	c_mean	c_std	c_median	c_IQR
0	0.0	412.0	63.0106807288	12.3659693074	59.3544233333	14.2395041667
1	1.0	440.0	50.2897636169	14.9950416184	45.1001883333	13.8162575
2	2.0	488.0	38.8529124805	15.9335239782	33.77838	13.4573966667
3	3.0	510.0	35.5476256853	15.1579786702	30.7671033333	12.811935
4	4.0	532.0	33.3438497211	15.3107043691	28.069225	13.2656741667
5	5.0	555.0	31.4937773936	15.3619993948	26.7328916667	12.7035625
6	6.0	650.0	27.455942795	15.3718829463	22.5285016667	12.9861291667
7	7.0	676.0	25.1950451453	14.5571340426	20.8885366667	11.51603
8	8.0	715.0	25.4164813753	15.603325517	20.3897666667	12.8297566667
