	Unnamed: 0	wl	a_mean	a_std	a_median	a_IQR
0	0.0	412.0	24.8367651376	25.522654255	27.0917066667	37.2870391667
1	1.0	440.0	24.7710897604	25.2568444251	25.5579166667	41.47562
2	2.0	488.0	24.1272735562	24.552964796	24.9900866667	43.153845
3	3.0	510.0	24.1687225304	24.6117454211	30.1246683333	42.9574083333
4	4.0	532.0	23.6417095113	25.2659351877	29.344685	42.0607275
5	5.0	555.0	23.6670661092	24.9823460003	29.6294516667	42.5016183333
6	6.0	650.0	22.6072779691	24.254586332	20.061045	43.0127566667
7	7.0	676.0	22.672647827	24.2823815474	20.168485	43.1325058333
8	8.0	715.0	22.9948010823	23.9577643124	20.896775	43.8566683333
