	wl	c_mean	c_std	c_median	c_var	c_IQR
0	412.0	10.4749709529	0.216435252498	10.522695	0.046844218524	0.36621
1	440.0	6.57236375561	0.12938935345	6.590975	0.0167416047862	0.21366
2	488.0	3.42147348655	0.0568051169493	3.41665	0.00322682131162	0.07095
3	510.0	2.70486820628	0.0516056231649	2.698825	0.00266314034223	0.0449225
4	532.0	2.23355081839	0.0493523152592	2.226445	0.00243565102144	0.03893
5	555.0	1.80798846413	0.0382021773049	1.8007	0.00145940635084	0.036915
6	650.0	0.977872757848	0.042386728931	0.970155	0.00179663478947	0.042615
7	676.0	0.886019663677	0.0403492180549	0.878705	0.00162805939764	0.0439575
8	715.0	0.763549943946	0.0433709412006	0.7563	0.00188103854063	0.0456425
