	wl	a_mean	a_std	a_median	a_var	a_IQR
0	412.0	0.63968760095	0.00435785603604	0.63996	1.89909092309e-05	0.00593
1	440.0	0.382526840855	0.0026916687594	0.38229	7.24508071033e-06	0.00379
2	488.0	0.217127458432	0.0022348667695	0.21707	4.99462947743e-06	0.00297
3	510.0	0.171400546318	0.00186639299079	0.17131	3.48342279606e-06	0.00259
4	532.0	0.164618004751	0.00196130297069	0.16461	3.84670934283e-06	0.00274
5	555.0	0.129142185273	0.0019936785751	0.12915	3.97475426083e-06	0.00271
6	650.0	0.0796564370546	0.00164386801085	0.07965	2.7023020371e-06	0.00218
7	676.0	0.0891762470309	0.00171163780541	0.08918	2.92970397693e-06	0.00232
8	715.0	0.0557712589074	0.00155495707549	0.05575	2.41789150662e-06	0.00211
