	wl	c_mean	c_std	c_median	c_var	c_IQR
0	412.0	-0.0797693333333	0.00418348289316	-0.07981	1.75015291174e-05	0.0054425
1	440.0	0.0348953846154	0.00268424446739	0.03471	7.20516836069e-06	0.0034225
2	488.0	0.157436461538	0.00263192488081	0.15716	6.92702857821e-06	0.0032
3	510.0	0.151172923077	0.0026713603727	0.15084	7.13616624085e-06	0.0028425
4	532.0	0.224731615385	0.00279975608665	0.22465	7.83863414475e-06	0.0030025
5	555.0	0.17992174359	0.00253573200434	0.17985	6.42993679784e-06	0.0031775
6	650.0	0.190448538462	0.00224407226405	0.190365	5.03586032628e-06	0.00252
7	676.0	0.202678923077	0.00198836199247	0.202645	3.95358341309e-06	0.0024425
8	715.0	0.208252384615	0.00215061495498	0.208305	4.6251446846e-06	0.002575
